ダウンロードした時刻：2025/01/19 15:57:49,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,白馬,白馬,白馬,白馬,白馬,白馬,白馬,白馬,白馬,白馬,白馬,白馬,白馬,白馬,白馬,白馬,白馬,白馬,白馬,白馬,白馬,白馬,白馬
年月日時,気温(℃),気温(℃),気温(℃),日照時間(時間),日照時間(時間),日照時間(時間),降水量(mm),降水量(mm),降水量(mm),降雪(cm),降雪(cm),降雪(cm),相対湿度(％),相対湿度(％),相対湿度(％),風速(m/s),風速(m/s),風速(m/s),風速(m/s),風速(m/s),積雪(cm),積雪(cm),積雪(cm)
,,,,,,,,,,,,,,,,,,風向,風向,,,,
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,均質番号
2024/11/1 1:00,6.2,8,1,,8,1,0,8,1,,1,1,,0,1,0.2,8,静穏,8,1,,1,1
2024/11/1 2:00,5.5,8,1,,8,1,0,8,1,,1,1,,0,1,0.9,8,南西,8,1,,1,1
2024/11/1 3:00,4.8,8,1,,8,1,0,8,1,,1,1,,0,1,0.7,8,北西,8,1,,1,1
2024/11/1 4:00,4.9,8,1,,8,1,0,8,1,,1,1,,0,1,1.1,8,南西,8,1,,1,1
2024/11/1 5:00,4.5,8,1,,8,1,0,8,1,,1,1,,0,1,0.2,8,静穏,8,1,,1,1
2024/11/1 6:00,4.3,8,1,,8,1,0,8,1,,1,1,,0,1,0.2,8,静穏,8,1,,1,1
2024/11/1 7:00,5,8,1,0,8,1,0,8,1,,1,1,,0,1,0.8,8,南南西,8,1,,1,1
2024/11/1 8:00,7.3,8,1,0.8,8,1,0,8,1,,1,1,,0,1,0.1,8,静穏,8,1,,1,1
2024/11/1 9:00,10.4,8,1,0.8,8,1,0,8,1,,1,1,,0,1,0.3,8,南南東,8,1,,1,1
2024/11/1 10:00,12.4,8,1,0,8,1,0,8,1,,1,1,,0,1,0.8,8,南,8,1,,1,1
